Date,T_BILL_3_MO,SP_FINANCE,SP_ENEGY,SP_MATERIALS,SP_CONSUM_DIS,SP_CONSUM_STAPLE,SP_HEALTH,SP_UTIL,SP_500,SP_INFO_TECH,SP_TELE_COMM
20040131,0.00897000014781952,-0.004138900043830448,-0.01748936295721265,0.0023396632685020718,-0.0113562340725541,-0.01213395502477751,-0.014204688403627243,-0.009301627693968594,-0.011597594038394636,-0.011270878760445618,-0.014398203376067134
20040229,0.009269999861717225,-0.006191971205236067,-0.007954946350444731,-0.005132533171555025,-0.009111050352413948,-0.006172071965647424,-0.013455452550185914,0.0021331146738306044,-0.010020660871685483,-0.014353786862259387,-0.008334700059143458
20040331,0.009229999780654908,-0.011522258236773983,-0.003438533416955821,-0.011514766432559664,-0.008393452937587462,-0.00969788837059875,-0.007177111411280067,-0.007930803428787856,-0.009931010483849229,-0.015773615346761583,-0.0027195829415210936
20040430,0.009520000219345093,-0.012535911117283213,-0.0064473690133811795,-0.011985323200512953,-0.01893729166742158,-0.008466792125893446,-0.010778423595604722,-0.009520000219345093,-0.015436173031426907,-0.03011964076989688,-0.01914201681642412
20040531,0.010520000457763672,-0.009919496614562979,-0.008082672520708163,-0.01261684771164711,-0.012244723391896773,-0.013878737426309913,-0.012706953778259419,-0.006894671202531771,-0.011055081410122852,-0.008223638905550574,-0.0163652694714572
20040630,0.013029999732971191,-0.009164833056275723,-0.007537875488684979,-0.005754367187305841,-0.010221976042153476,-0.009656266927292023,-0.00977692665239049,-0.007858569674263863,-0.008946198599507143,-0.008550848017061005,-0.010565655669176508
20040731,0.014119999408721924,-0.014865152623593086,-0.009039338622188859,-0.015235956276932205,-0.014869345564976953,-0.014433427614432205,-0.010589729623288116,-0.007945126976206984,-0.012947805875986642,-0.0090366470179539,-0.019960053852183912
20040831,0.015679999589920043,-0.009422850251476255,0.002811947737946227,-0.0118764881681062,-0.014844764882084915,-0.013256331192135307,-0.009269324766480236,-0.004985695477755648,-0.011049179677027923,-0.018433940729775194,-0.00958242837093174
20040930,0.01674000024795532,-0.01799007962974465,-0.010819599116725526,-0.0029366093047552156,-0.013280753547267906,-0.014742712752217635,-0.036244397303159065,-0.013590629968834578,-0.016937428274325487,-0.013564364422923617,-0.019230065349207223
20041031,0.018669999837875366,-0.017028158959083675,-0.004992263027736114,-0.003956121682750634,-0.01878692223114235,-0.02028870766265671,-0.018180257661957324,-0.012709020797669671,-0.016221967207256962,-0.016868433075547633,-0.01974090562971652
20041130,0.021819999217987062,-0.02361417553681848,-0.021887947257623972,-0.02764352154362698,-0.03213769055597399,-0.030887228449616673,-0.01979710403241126,-0.03445296092486301,-0.025850307317184927,-0.02971347666520785,-0.0238781178949596
20041231,0.021819999217987062,-0.021503631746326086,-0.019040517065782556,-0.02340094416490238,-0.024180865106788064,-0.02409336800890998,-0.025430486819044276,-0.027647329239374865,-0.023163169929723698,-0.021819999217987062,-0.02560107992036943
